heder	Length	GC_amont	CG_precent
>lcl|NC_000913.3_cds_NP_415379.1_835 	489	255	52.15 %
>lcl|NC_000913.3_cds_NP_415380.1_836 	1128	616	54.61 %
>lcl|NC_000913.3_cds_NP_415381.1_837 	732	328	44.81 %
>lcl|NC_000913.3_cds_NP_415382.1_838 	669	349	52.17 %
>lcl|NC_000913.3_cds_NP_415383.1_839 	717	394	54.95 %
>lcl|NC_000913.3_cds_NP_415384.1_840 	732	368	50.27 %
>lcl|NC_000913.3_cds_NP_415385.1_841 	729	384	52.67 %
>lcl|NC_000913.3_cds_NP_415386.1_842 	516	278	53.88 %
>lcl|NC_000913.3_cds_NP_415387.1_843 	324	175	54.01 %
>lcl|NC_000913.3_cds_NP_415388.1_844 	831	466	56.08 %
>lcl|NC_000913.3_cds_NP_415389.2_845 	1014	552	54.44 %
>lcl|NC_000913.3_cds_NP_415390.4_846 	1431	787	55.00 %
>lcl|NC_000913.3_cds_NP_415391.1_847 	1002	563	56.19 %
>lcl|NC_000913.3_cds_NP_415392.1_848 	1719	929	54.04 %
>lcl|NC_000913.3_cds_NP_415393.1_849 	969	537	55.42 %
>lcl|NC_000913.3_cds_NP_415394.4_850 	1653	905	54.75 %
>lcl|NC_000913.3_cds_NP_415395.2_851 	900	434	48.22 %
>lcl|NC_000913.3_cds_NP_415396.1_852 	696	364	52.30 %
>lcl|NC_000913.3_cds_NP_415397.1_853 	1659	881	53.10 %
>lcl|NC_000913.3_cds_NP_415398.1_854 	993	496	49.95 %
>lcl|NC_000913.3_cds_NP_415399.4_855 	1116	592	53.05 %
>lcl|NC_000913.3_cds_NP_415400.1_856 	1947	1050	53.93 %
>lcl|NC_000913.3_cds_NP_415401.1_857 	225	109	48.44 %
>lcl|NC_000913.3_cds_YP_010051179.1_858 	75	29	38.67 %
>lcl|NC_000913.3_cds_NP_415402.1_859 	321	145	45.17 %
>lcl|NC_000913.3_cds_NP_415403.1_860 	2277	1198	52.61 %
>lcl|NC_000913.3_cds_NP_415404.1_861 	219	106	48.40 %
>lcl|NC_000913.3_cds_NP_415405.1_862 	705	381	54.04 %
>lcl|NC_000913.3_cds_NP_415406.1_863 	1722	926	53.77 %
>lcl|NC_000913.3_cds_NP_415407.1_864 	1767	948	53.65 %
>lcl|NC_000913.3_cds_NP_415408.1_865 	966	518	53.62 %
>lcl|NC_000913.3_cds_NP_415409.1_866 	495	237	47.88 %
>lcl|NC_000913.3_cds_NP_415410.1_867 	3990	2155	54.01 %
>lcl|NC_000913.3_cds_NP_415411.2_868 	612	312	50.98 %
>lcl|NC_000913.3_cds_NP_415412.1_869 	1344	720	53.57 %
>lcl|NC_000913.3_cds_NP_415413.1_870 	1293	681	52.67 %
>lcl|NC_000913.3_cds_NP_415414.4_871 	2445	1289	52.72 %
>lcl|NC_000913.3_cds_NP_415415.1_872 	618	320	51.78 %
>lcl|NC_000913.3_cds_NP_415416.1_873 	864	472	54.63 %
>lcl|NC_000913.3_cds_NP_415417.1_874 	627	290	46.25 %
>lcl|NC_000913.3_cds_NP_415418.1_875 	1149	598	52.05 %
>lcl|NC_000913.3_cds_NP_415419.2_876 	1431	675	47.17 %
>lcl|NC_000913.3_cds_NP_415420.1_877 	909	424	46.64 %
>lcl|NC_000913.3_cds_NP_415421.1_878 	591	253	42.81 %
>lcl|NC_000913.3_cds_NP_415422.1_879 	741	373	50.34 %
>lcl|NC_000913.3_cds_NP_415423.1_880 	2283	1169	51.20 %
>lcl|NC_000913.3_cds_NP_415424.1_881 	858	420	48.95 %
>lcl|NC_000913.3_cds_NP_415425.4_882 	1761	908	51.56 %
>lcl|NC_000913.3_cds_NP_415426.1_883 	693	330	47.62 %
>lcl|NC_000913.3_cds_NP_415427.1_884 	1089	546	50.14 %
>lcl|NC_000913.3_cds_NP_415428.1_885 	1284	652	50.78 %
>lcl|NC_000913.3_cds_NP_415429.2_886 	765	382	49.93 %
>lcl|NC_000913.3_cds_NP_415430.1_887 	684	367	53.65 %
>lcl|NC_000913.3_cds_NP_415431.1_888 	1674	857	51.19 %
>lcl|NC_000913.3_cds_NP_415432.1_889 	285	140	49.12 %
>lcl|NC_000913.3_cds_NP_415433.4_890 	2265	1121	49.49 %
>lcl|NC_000913.3_cds_NP_415434.1_891 	1749	890	50.89 %
>lcl|NC_000913.3_cds_NP_415435.1_892 	987	540	54.71 %
>lcl|NC_000913.3_cds_NP_415436.1_893 	1233	645	52.31 %
>lcl|NC_000913.3_cds_NP_415437.1_894 	183	88	48.09 %
>lcl|NC_000913.3_cds_NP_415438.1_895 	747	394	52.74 %
>lcl|NC_000913.3_cds_NP_415439.1_896 	894	469	52.46 %
>lcl|NC_000913.3_cds_NP_415440.1_897 	780	407	52.18 %
>lcl|NC_000913.3_cds_NP_415441.1_898 	786	405	51.53 %
>lcl|NC_000913.3_cds_NP_415442.1_899 	1323	699	52.83 %
>lcl|NC_000913.3_cds_NP_415443.2_900 	705	364	51.63 %
>lcl|NC_000913.3_cds_NP_415444.1_901 	4461	2483	55.66 %
>lcl|NC_000913.3_cds_NP_415445.1_902 	1848	982	53.14 %
>lcl|NC_000913.3_cds_NP_415446.1_903 	549	273	49.73 %
>lcl|NC_000913.3_cds_NP_415447.1_904 	648	334	51.54 %
>lcl|NC_000913.3_cds_NP_415448.1_905 	1191	622	52.23 %
>lcl|NC_000913.3_cds_NP_415449.1_906 	1089	520	47.75 %
>lcl|NC_000913.3_cds_NP_415450.1_907 	1401	734	52.39 %
>lcl|NC_000913.3_cds_NP_415451.1_908 	1203	616	51.21 %
>lcl|NC_000913.3_cds_NP_415452.1_909 	2613	1397	53.46 %
>lcl|NC_000913.3_cds_NP_415453.1_910 	768	427	55.60 %
>lcl|NC_000913.3_cds_NP_415454.4_911 	792	442	55.81 %
>lcl|NC_000913.3_cds_NP_415455.1_912 	1146	653	56.98 %
>lcl|NC_000913.3_cds_NP_415456.4_913 	960	503	52.40 %
>lcl|NC_000913.3_cds_NP_415457.1_914 	576	312	54.17 %
>lcl|NC_000913.3_cds_NP_415458.2_915 	540	229	42.41 %
>lcl|NC_000913.3_cds_NP_415459.1_916 	702	316	45.01 %
>lcl|NC_000913.3_cds_NP_415460.1_917 	2601	1245	47.87 %
>lcl|NC_000913.3_cds_NP_415461.1_918 	1071	517	48.27 %
>lcl|NC_000913.3_cds_NP_415462.1_919 	543	256	47.15 %
>lcl|NC_000913.3_cds_NP_415463.2_920 	516	244	47.29 %
>lcl|NC_000913.3_cds_NP_415464.4_921 	711	368	51.76 %
>lcl|NC_000913.3_cds_NP_415465.1_922 	1011	475	46.98 %
>lcl|NC_000913.3_cds_NP_415466.4_923 	543	268	49.36 %
>lcl|NC_000913.3_cds_NP_415467.1_924 	1110	560	50.45 %
>lcl|NC_000913.3_cds_NP_415468.1_925 	2109	1144	54.24 %
>lcl|NC_000913.3_cds_NP_415469.1_926 	1908	1000	52.41 %
>lcl|NC_000913.3_cds_NP_415470.1_927 	1254	655	52.23 %
>lcl|NC_000913.3_cds_NP_415471.1_928 	1641	824	50.21 %
>lcl|NC_000913.3_cds_NP_415472.2_929 	564	294	52.13 %
>lcl|NC_000913.3_cds_NP_415473.1_930 	168	91	54.17 %
>lcl|NC_000913.3_cds_NP_415474.1_931 	519	276	53.18 %
>lcl|NC_000913.3_cds_NP_415475.1_932 	1761	912	51.79 %
>lcl|NC_000913.3_cds_NP_415476.1_933 	453	209	46.14 %
>lcl|NC_000913.3_cds_NP_415477.1_934 	1041	560	53.79 %
>lcl|NC_000913.3_cds_NP_415478.1_935 	510	246	48.24 %
>lcl|NC_000913.3_cds_NP_415479.1_936 	630	303	48.10 %
>lcl|NC_000913.3_cds_NP_415480.2_937 	2154	1125	52.23 %
>lcl|NC_000913.3_cds_NP_415481.1_938 	447	216	48.32 %
>lcl|NC_000913.3_cds_NP_415482.1_939 	2055	1090	53.04 %
>lcl|NC_000913.3_cds_NP_415483.2_940 	459	242	52.72 %
>lcl|NC_000913.3_cds_NP_415484.1_941 	663	336	50.68 %
>lcl|NC_000913.3_cds_NP_415485.4_942 	414	225	54.35 %
>lcl|NC_000913.3_cds_NP_415486.4_943 	318	177	55.66 %
>lcl|NC_000913.3_cds_NP_415487.4_944 	1191	617	51.81 %
>lcl|NC_000913.3_cds_NP_415488.1_945 	279	146	52.33 %
>lcl|NC_000913.3_cds_NP_415489.4_946 	330	154	46.67 %
>lcl|NC_000913.3_cds_NP_415490.1_947 	660	338	51.21 %
>lcl|NC_000913.3_cds_NP_415491.1_948 	1119	628	56.12 %
>lcl|NC_000913.3_cds_NP_415492.1_949 	1794	1014	56.52 %
>lcl|NC_000913.3_cds_NP_415493.1_950 	708	367	51.84 %
>lcl|NC_000913.3_cds_NP_415494.1_951 	588	346	58.84 %
>lcl|NC_000913.3_cds_NP_415495.1_952 	399	226	56.64 %
>lcl|NC_000913.3_cds_NP_415496.1_953 	858	471	54.90 %
>lcl|NC_000913.3_cds_NP_415497.1_954 	1545	835	54.05 %
>lcl|NC_000913.3_cds_NP_415498.1_955 	1137	605	53.21 %
>lcl|NC_000913.3_cds_YP_001165313.1_956 	93	43	46.24 %
>lcl|NC_000913.3_cds_NP_415500.1_957 	1299	700	53.89 %
>lcl|NC_000913.3_cds_NP_415501.1_958 	2181	1102	50.53 %
>lcl|NC_000913.3_cds_NP_415502.4_959 	447	234	52.35 %
>lcl|NC_000913.3_cds_NP_415503.1_960 	1140	581	50.96 %
>lcl|NC_000913.3_cds_NP_415504.1_961 	2097	1090	51.98 %
>lcl|NC_000913.3_cds_NP_415505.1_962 	747	391	52.34 %
>lcl|NC_000913.3_cds_NP_415506.1_963 	645	307	47.60 %
>lcl|NC_000913.3_cds_NP_415507.2_964 	306	176	57.52 %
>lcl|NC_000913.3_cds_YP_588445.1_965 	276	146	52.90 %
>lcl|NC_000913.3_cds_NP_415508.1_966 	504	276	54.76 %
>lcl|NC_000913.3_cds_NP_415509.1_967 	213	100	46.95 %
>lcl|NC_000913.3_cds_NP_415510.1_968 	213	94	44.13 %
>lcl|NC_000913.3_cds_YP_009518761.1_969 	189	88	46.56 %
>lcl|NC_000913.3_cds_NP_415511.1_970 	231	96	41.56 %
>lcl|NC_000913.3_cds_YP_588446.1_971 	174	69	39.66 %
>lcl|NC_000913.3_cds_NP_415512.1_972 	1074	528	49.16 %
>lcl|NC_000913.3_cds_NP_415513.2_973 	2745	1476	53.77 %
>lcl|NC_000913.3_cds_NP_415514.1_974 	1029	550	53.45 %
>lcl|NC_000913.3_cds_NP_415515.1_975 	693	363	52.38 %
>lcl|NC_000913.3_cds_NP_415516.1_976 	1173	601	51.24 %
>lcl|NC_000913.3_cds_NP_415517.1_977 	2547	1409	55.32 %
>lcl|NC_000913.3_cds_NP_415518.1_978 	600	320	53.33 %
>lcl|NC_000913.3_cds_NP_415519.1_979 	306	166	54.25 %
>lcl|NC_000913.3_cds_NP_415520.1_980 	921	487	52.88 %
>lcl|NC_000913.3_cds_NP_415521.1_981 	1257	429	34.13 %
>lcl|NC_000913.3_cds_NP_415522.1_982 	1242	641	51.61 %
>lcl|NC_000913.3_cds_NP_415523.1_983 	228	107	46.93 %
>lcl|NC_000913.3_cds_NP_415524.1_984 	597	322	53.94 %
>lcl|NC_000913.3_cds_NP_415525.2_985 	174	89	51.15 %
>lcl|NC_000913.3_cds_NP_415526.4_986 	1329	718	54.03 %
>lcl|NC_000913.3_cds_NP_415527.4_987 	495	292	58.99 %
>lcl|NC_000913.3_cds_NP_415528.1_988 	591	338	57.19 %
>lcl|NC_000913.3_cds_NP_415529.1_989 	801	464	57.93 %
>lcl|NC_000913.3_cds_NP_415530.1_990 	387	209	54.01 %
>lcl|NC_000913.3_cds_NP_415531.2_991 	693	384	55.41 %
>lcl|NC_000913.3_cds_NP_415532.3_992 	1149	633	55.09 %
>lcl|NC_000913.3_cds_NP_415533.1_993 	639	328	51.33 %
>lcl|NC_000913.3_cds_NP_415534.1_994 	3963	2258	56.98 %
>lcl|NC_000913.3_cds_YP_009518762.2_995 	27	10	37.04 %
>lcl|NC_000913.3_cds_NP_415535.1_996 	1509	810	53.68 %
>lcl|NC_000913.3_cds_NP_415537.1_997 	1128	579	51.33 %
>lcl|NC_000913.3_cds_NP_415538.1_998 	1272	684	53.77 %
>lcl|NC_000913.3_cds_NP_415539.1_999 	1065	556	52.21 %
>lcl|NC_000913.3_cds_NP_415540.1_1000 	414	183	44.20 %
>lcl|NC_000913.3_cds_NP_415541.1_1001 	1326	619	46.68 %
>lcl|NC_000913.3_cds_NP_415542.1_1002 	2019	897	44.43 %
>lcl|NC_000913.3_cds_NP_415543.1_1003 	2424	1147	47.32 %
>lcl|NC_000913.3_cds_NP_415544.1_1004 	1359	524	38.56 %
>lcl|NC_000913.3_cds_NP_415545.1_1005 	867	478	55.13 %
>lcl|NC_000913.3_cds_NP_415546.2_1006 	300	150	50.00 %
>lcl|NC_000913.3_cds_NP_415548.1_1007 	987	400	40.53 %
>lcl|NC_000913.3_cds_NP_415551.2_1008 	939	481	51.22 %
>lcl|NC_000913.3_cds_NP_415552.1_1009 	738	357	48.37 %
>lcl|NC_000913.3_cds_NP_415553.1_1010 	555	297	53.51 %
>lcl|NC_000913.3_cds_NP_415554.4_1011 	492	265	53.86 %
>lcl|NC_000913.3_cds_NP_415555.1_1012 	834	418	50.12 %
>lcl|NC_000913.3_cds_NP_415556.1_1013 	417	177	42.45 %
>lcl|NC_000913.3_cds_NP_415557.1_1014 	390	168	43.08 %
>lcl|NC_000913.3_cds_NP_415558.1_1015 	651	272	41.78 %
>lcl|NC_000913.3_cds_NP_415559.1_1016 	456	191	41.89 %
>lcl|NC_000913.3_cds_NP_415560.1_1017 	456	233	51.10 %
>lcl|NC_000913.3_cds_NP_415561.1_1018 	333	142	42.64 %
>lcl|NC_000913.3_cds_NP_415562.1_1019 	312	136	43.59 %
>lcl|NC_000913.3_cds_NP_415563.1_1020 	534	276	51.69 %
>lcl|NC_000913.3_cds_NP_415564.2_1021 	1422	721	50.70 %
>lcl|NC_000913.3_cds_NP_415565.1_1022 	1158	508	43.87 %
>lcl|NC_000913.3_cds_NP_415566.1_1023 	1536	766	49.87 %
>lcl|NC_000913.3_cds_NP_415567.1_1024 	2544	1398	54.95 %
>lcl|NC_000913.3_cds_NP_415568.1_1025 	228	115	50.44 %
>lcl|NC_000913.3_cds_NP_415569.4_1026 	375	188	50.13 %
>lcl|NC_000913.3_cds_NP_415571.1_1027 	1227	644	52.49 %
>lcl|NC_000913.3_cds_NP_415572.1_1028 	921	488	52.99 %
>lcl|NC_000913.3_cds_NP_415573.1_1029 	1053	524	49.76 %
>lcl|NC_000913.3_cds_NP_415574.1_1030 	576	273	47.40 %
>lcl|NC_000913.3_cds_NP_415575.1_1031 	567	290	51.15 %
>lcl|NC_000913.3_cds_NP_415576.1_1032 	141	53	37.59 %
>lcl|NC_000913.3_cds_NP_415577.1_1033 	1119	587	52.46 %
>lcl|NC_000913.3_cds_NP_415578.3_1034 	255	115	45.10 %
>lcl|NC_000913.3_cds_NP_415579.1_1035 	246	118	47.97 %
>lcl|NC_000913.3_cds_NP_415580.1_1036 	1047	556	53.10 %
>lcl|NC_000913.3_cds_NP_415581.1_1037 	561	263	46.88 %
>lcl|NC_000913.3_cds_NP_415582.1_1038 	648	318	49.07 %
>lcl|NC_000913.3_cds_NP_415583.4_1039 	1209	669	55.33 %
>lcl|NC_000913.3_cds_NP_415584.1_1040 	585	289	49.40 %
>lcl|NC_000913.3_cds_NP_415585.1_1041 	648	336	51.85 %
>lcl|NC_000913.3_cds_NP_415586.1_1042 	924	511	55.30 %
>lcl|NC_000913.3_cds_NP_415587.1_1043 	1536	825	53.71 %
>lcl|NC_000913.3_cds_NP_415588.1_1044 	417	201	48.20 %
>lcl|NC_000913.3_cds_NP_415589.1_1045 	294	155	52.72 %
>lcl|NC_000913.3_cds_NP_415590.1_1046 	660	345	52.27 %
>lcl|NC_000913.3_cds_NP_415591.1_1047 	417	223	53.48 %
>lcl|NC_000913.3_cds_NP_415592.1_1048 	405	214	52.84 %
>lcl|NC_000913.3_cds_NP_415593.1_1049 	696	380	54.60 %
>lcl|NC_000913.3_cds_NP_415594.1_1050 	1209	623	51.53 %
>lcl|NC_000913.3_cds_NP_415595.1_1051 	756	447	59.13 %
>lcl|NC_000913.3_cds_NP_415596.1_1052 	783	421	53.77 %
>lcl|NC_000913.3_cds_NP_415597.1_1053 	699	374	53.51 %
>lcl|NC_000913.3_cds_NP_415598.3_1054 	1098	595	54.19 %
>lcl|NC_000913.3_cds_NP_415599.1_1055 	942	515	54.67 %
>lcl|NC_000913.3_cds_NP_415600.1_1056 	1644	852	51.82 %
>lcl|NC_000913.3_cds_NP_415601.1_1057 	954	484	50.73 %
>lcl|NC_000913.3_cds_NP_415602.1_1058 	3186	1773	55.65 %
>lcl|NC_000913.3_cds_NP_415603.2_1059 	321	143	44.55 %
>lcl|NC_000913.3_cds_NP_415604.1_1060 	960	494	51.46 %
>lcl|NC_000913.3_cds_NP_415605.2_1061 	585	293	50.09 %
>lcl|NC_000913.3_cds_NP_415606.1_1062 	522	259	49.62 %
>lcl|NC_000913.3_cds_NP_415607.1_1063 	174	94	54.02 %
>lcl|NC_000913.3_cds_NP_415608.2_1064 	1071	558	52.10 %
>lcl|NC_000913.3_cds_NP_415609.1_1065 	954	522	54.72 %
>lcl|NC_000913.3_cds_NP_415610.1_1066 	930	513	55.16 %
>lcl|NC_000913.3_cds_NP_415611.1_1067 	735	379	51.56 %
>lcl|NC_000913.3_cds_NP_415612.1_1068 	237	114	48.10 %
>lcl|NC_000913.3_cds_NP_415613.1_1069 	1242	662	53.30 %
>lcl|NC_000913.3_cds_NP_415614.1_1070 	810	410	50.62 %
>lcl|NC_000913.3_cds_NP_415615.1_1071 	1023	519	50.73 %
>lcl|NC_000913.3_cds_NP_415616.1_1072 	642	347	54.05 %
>lcl|NC_000913.3_cds_NP_415617.1_1073 	1005	543	54.03 %
>lcl|NC_000913.3_cds_NP_415618.1_1074 	798	406	50.88 %
>lcl|NC_000913.3_cds_NP_415619.1_1075 	1434	755	52.65 %
>lcl|NC_000913.3_cds_NP_415620.1_1076 	2190	1095	50.00 %
>lcl|NC_000913.3_cds_NP_415621.3_1077 	360	182	50.56 %
>lcl|NC_000913.3_cds_NP_415622.1_1078 	378	187	49.47 %
>lcl|NC_000913.3_cds_NP_415623.1_1079 	642	362	56.39 %
>lcl|NC_000913.3_cds_NP_415624.1_1080 	825	440	53.33 %
>lcl|NC_000913.3_cds_NP_415625.1_1081 	1026	544	53.02 %
>lcl|NC_000913.3_cds_NP_415626.4_1082 	543	253	46.59 %
>lcl|NC_000913.3_cds_NP_415627.1_1083 	1305	691	52.95 %
>lcl|NC_000913.3_cds_NP_415628.1_1084 	540	290	53.70 %
>lcl|NC_000913.3_cds_NP_415629.4_1085 	633	324	51.18 %
>lcl|NC_000913.3_cds_NP_415630.1_1086 	258	122	47.29 %
>lcl|NC_000913.3_cds_NP_415631.1_1087 	963	513	53.27 %
>lcl|NC_000913.3_cds_NP_415632.1_1088 	3447	1888	54.77 %
>lcl|NC_000913.3_cds_NP_415633.1_1089 	1074	532	49.53 %
>lcl|NC_000913.3_cds_NP_415634.1_1090 	1200	650	54.17 %
>lcl|NC_000913.3_cds_NP_415635.4_1091 	702	387	55.13 %
>lcl|NC_000913.3_cds_NP_415636.1_1092 	1245	646	51.89 %
>lcl|NC_000913.3_cds_NP_415637.1_1093 	912	481	52.74 %
>lcl|NC_000913.3_cds_NP_415638.3_1094 	840	435	51.79 %
>lcl|NC_000913.3_cds_YP_010051180.1_1095 	729	379	51.99 %
>lcl|NC_000913.3_cds_NP_415639.1_1096 	789	336	42.59 %
>lcl|NC_000913.3_cds_NP_415640.2_1097 	462	201	43.51 %
>lcl|NC_000913.3_cds_NP_415641.1_1098 	1047	532	50.81 %
>lcl|NC_000913.3_cds_NP_415642.1_1099 	795	399	50.19 %
>lcl|NC_000913.3_cds_NP_415643.3_1100 	828	421	50.85 %
>lcl|NC_000913.3_cds_NP_415644.1_1101 	1137	578	50.84 %
>lcl|NC_000913.3_cds_NP_415645.1_1102 	1227	612	49.88 %
>lcl|NC_000913.3_cds_NP_415646.4_1103 	1122	606	54.01 %
>lcl|NC_000913.3_cds_NP_415647.1_1104 	1461	750	51.33 %
>lcl|NC_000913.3_cds_NP_415648.1_1105 	672	321	47.77 %
>lcl|NC_000913.3_cds_NP_415649.1_1106 	1371	717	52.30 %
>lcl|NC_000913.3_cds_NP_415650.1_1107 	642	367	57.17 %
>lcl|NC_000913.3_cds_NP_415651.4_1108 	1107	595	53.75 %
>lcl|NC_000913.3_cds_NP_415652.1_1109 	462	232	50.22 %
>lcl|NC_000913.3_cds_NP_415653.4_1110 	654	335	51.22 %
>lcl|NC_000913.3_cds_NP_415654.1_1111 	1251	628	50.20 %
>lcl|NC_000913.3_cds_NP_415655.1_1112 	666	232	34.83 %
>lcl|NC_000913.3_cds_NP_415656.1_1113 	705	218	30.92 %
>lcl|NC_000913.3_cds_NP_415657.1_1114 	894	329	36.80 %
>lcl|NC_000913.3_cds_NP_415658.1_1115 	1128	505	44.77 %
>lcl|NC_000913.3_cds_NP_415659.1_1116 	246	109	44.31 %
>lcl|NC_000913.3_cds_YP_009518763.1_1117 	312	169	54.17 %
>lcl|NC_000913.3_cds_NP_415661.2_1118 	342	132	38.60 %
>lcl|NC_000913.3_cds_NP_415662.2_1119 	309	145	46.93 %
>lcl|NC_000913.3_cds_NP_415663.1_1120 	675	300	44.44 %
>lcl|NC_000913.3_cds_NP_415664.2_1121 	201	86	42.79 %
>lcl|NC_000913.3_cds_NP_415665.2_1122 	558	277	49.64 %
>lcl|NC_000913.3_cds_NP_415666.1_1123 	339	169	49.85 %
>lcl|NC_000913.3_cds_YP_009518764.1_1124 	1368	743	54.31 %
>lcl|NC_000913.3_cds_NP_415668.1_1125 	183	110	60.11 %
>lcl|NC_000913.3_cds_YP_009518765.1_1126 	474	267	56.33 %
>lcl|NC_000913.3_cds_NP_415671.1_1127 	585	335	57.26 %
>lcl|NC_000913.3_cds_NP_415672.1_1128 	630	317	50.32 %
>lcl|NC_000913.3_cds_NP_415673.1_1129 	414	174	42.03 %
>lcl|NC_000913.3_cds_NP_415674.1_1130 	603	288	47.76 %
>lcl|NC_000913.3_cds_NP_415676.1_1131 	555	271	48.83 %
>lcl|NC_000913.3_cds_NP_415677.1_1132 	834	320	38.37 %
>lcl|NC_000913.3_cds_NP_415678.1_1133 	324	110	33.95 %
>lcl|NC_000913.3_cds_YP_009518766.1_1134 	45	14	31.11 %
>lcl|NC_000913.3_cds_YP_009518767.1_1135 	111	33	29.73 %
>lcl|NC_000913.3_cds_NP_415679.1_1136 	405	149	36.79 %
>lcl|NC_000913.3_cds_NP_415680.1_1137 	732	357	48.77 %
>lcl|NC_000913.3_cds_NP_415681.1_1138 	1212	528	43.56 %
>lcl|NC_000913.3_cds_NP_415682.1_1139 	237	99	41.77 %
>lcl|NC_000913.3_cds_NP_415683.1_1140 	273	101	37.00 %
>lcl|NC_000913.3_cds_NP_415684.1_1141 	267	93	34.83 %
>lcl|NC_000913.3_cds_NP_415685.1_1142 	249	89	35.74 %
>lcl|NC_000913.3_cds_NP_415686.2_1143 	1524	680	44.62 %
>lcl|NC_000913.3_cds_YP_588447.1_1144 	219	88	40.18 %
>lcl|NC_000913.3_cds_NP_415689.2_1145 	330	149	45.15 %
>lcl|NC_000913.3_cds_NP_415690.5_1146 	345	180	52.17 %
>lcl|NC_000913.3_cds_YP_001165314.1_1147 	174	56	32.18 %
>lcl|NC_000913.3_cds_YP_001165315.1_1148 	186	71	38.17 %
>lcl|NC_000913.3_cds_NP_415692.1_1149 	267	116	43.45 %
>lcl|NC_000913.3_cds_NP_415693.1_1150 	813	406	49.94 %
>lcl|NC_000913.3_cds_NP_415694.1_1151 	696	355	51.01 %
>lcl|NC_000913.3_cds_NP_415695.1_1152 	369	156	42.28 %
>lcl|NC_000913.3_cds_NP_415696.1_1153 	402	173	43.03 %
>lcl|NC_000913.3_cds_YP_010283909.1_1154 	60	28	46.67 %
>lcl|NC_000913.3_cds_NP_415697.5_1155 	327	141	43.12 %
>lcl|NC_000913.3_cds_NP_415698.1_1156 	660	343	51.97 %
>lcl|NC_000913.3_cds_NP_415699.5_1157 	462	220	47.62 %
>lcl|NC_000913.3_cds_NP_415700.4_1158 	912	375	41.12 %
>lcl|NC_000913.3_cds_NP_415701.1_1159 	420	202	48.10 %
>lcl|NC_000913.3_cds_NP_415702.1_1160 	1269	647	50.99 %
>lcl|NC_000913.3_cds_NP_415703.3_1161 	531	280	52.73 %
>lcl|NC_000913.3_cds_NP_415704.1_1162 	1542	815	52.85 %
>lcl|NC_000913.3_cds_NP_415705.1_1163 	720	369	51.25 %
>lcl|NC_000913.3_cds_NP_415706.1_1164 	1533	764	49.84 %
>lcl|NC_000913.3_cds_NP_415707.1_1165 	1299	731	56.27 %
>lcl|NC_000913.3_cds_NP_415708.1_1166 	1071	621	57.98 %
>lcl|NC_000913.3_cds_YP_009518768.1_1167 	204	104	50.98 %
>lcl|NC_000913.3_cds_NP_415709.2_1168 	1737	909	52.33 %
>lcl|NC_000913.3_cds_NP_415710.1_1169 	915	485	53.01 %
>lcl|NC_000913.3_cds_NP_415711.2_1170 	612	318	51.96 %
>lcl|NC_000913.3_cds_NP_415712.1_1171 	735	373	50.75 %
>lcl|NC_000913.3_cds_NP_415713.1_1172 	255	136	53.33 %
>lcl|NC_000913.3_cds_NP_415714.1_1173 	441	183	41.50 %
>lcl|NC_000913.3_cds_NP_415715.1_1174 	1698	888	52.30 %
>lcl|NC_000913.3_cds_NP_415716.4_1175 	1419	712	50.18 %
>lcl|NC_000913.3_cds_NP_415717.1_1176 	633	339	53.55 %
>lcl|NC_000913.3_cds_NP_415718.6_1177 	1071	568	53.03 %
>lcl|NC_000913.3_cds_NP_415719.2_1178 	1920	988	51.46 %
>lcl|NC_000913.3_cds_NP_415720.1_1179 	2868	1428	49.79 %
>lcl|NC_000913.3_cds_NP_415721.1_1180 	1092	557	51.01 %
>lcl|NC_000913.3_cds_NP_415722.1_1181 	585	291	49.74 %
>lcl|NC_000913.3_cds_NP_415723.1_1182 	279	148	53.05 %
>lcl|NC_000913.3_cds_NP_415724.2_1183 	1680	918	54.64 %
>lcl|NC_000913.3_cds_NP_415725.1_1184 	948	498	52.53 %
>lcl|NC_000913.3_cds_NP_415726.1_1185 	852	455	53.40 %
>lcl|NC_000913.3_cds_NP_415727.1_1186 	624	321	51.44 %
>lcl|NC_000913.3_cds_NP_415728.1_1187 	1257	683	54.34 %
>lcl|NC_000913.3_cds_NP_415729.1_1188 	1083	574	53.00 %
>lcl|NC_000913.3_cds_NP_415730.1_1189 	834	460	55.16 %
>lcl|NC_000913.3_cds_NP_415731.1_1190 	393	187	47.58 %
>lcl|NC_000913.3_cds_NP_415732.1_1191 	810	376	46.42 %
>lcl|NC_000913.3_cds_NP_415733.1_1192 	855	441	51.58 %
>lcl|NC_000913.3_cds_YP_025297.1_1193 	108	60	55.56 %
>lcl|NC_000913.3_cds_YP_025298.1_1194 	108	63	58.33 %
>lcl|NC_000913.3_cds_YP_025299.1_1195 	108	60	55.56 %
>lcl|NC_000913.3_cds_NP_415734.1_1196 	1101	537	48.77 %
>lcl|NC_000913.3_cds_NP_415735.1_1197 	231	105	45.45 %
>lcl|NC_000913.3_cds_NP_415736.2_1198 	696	381	54.74 %
>lcl|NC_000913.3_cds_NP_415737.1_1199 	354	183	51.69 %
>lcl|NC_000913.3_cds_NP_415738.2_1200 	1395	705	50.54 %
>lcl|NC_000913.3_cds_NP_415739.1_1201 	651	337	51.77 %
